iter	MultiClass
0	1.08594225
1	1.068272025
2	1.051058118
3	1.033782591
4	1.019021833
5	1.003446472
6	0.9869855208
7	0.966660807
8	0.9564532314
9	0.9472146351
10	0.9357238326
11	0.9249709642
12	0.9110563765
13	0.8959348634
14	0.8889818312
15	0.8870501673116	0.87708823
17	0.8674967327
18	0.8580716468
19	0.847314773520	0.8220861367
221	0.8311387267
22	0.8225198524
23	0.8128442422
24	0.8024728567
25	0.7964801802
26	0.7865985988
27	0.7782489194
28	0.7716816412
29	0.7649167873
30	0.7592647592
31	0.7513709515
32	0.7425591908
33	0.7349497123
34	0.7295334665
35	0.7230421281
36	0.7173117133
37	0.7136285596
38	0.7083290793
39	0.7012996523
40	0.6953562862
41	0.6906031864
42	0.6844249582
43	0.677644	0.6644	0.672445	0.6645	0.666446	0.6546	0.660847	0.6536402292
48	0.6491669345
49	0.6451772132
50	0.6411040238
51	0.63407708
52	0.630952	0.6353	0.625653	0.6354	0.6220537473
55	0.6174845473
56	0.6127464709
57	0.6084103971
58	0.604884251
59	0.599996247
60	0.5970676251
61	0.5958327656
62	0.5925793605
63	0.5889723754
64	0.5863461688
65	0.5826619204
66	0.5785192053
67	0.5749202063
68	0.5704665334
69	0.5673512713
70	0.5634637331
71	0.5591315532
72	0.5549931922
73	0.5503740134
74	0.5466596052
75	0.5448090627
76	0.53979068
77	0.5363804136
78	0.5333434629
79	0.5293641426
80	0.5266398664
81	0.5252531769
82	0.5228852056
83	0.5192240817
84	0.5158160527
85	0.5117147587
86	0.5085307712
87	0.5049933496
88	0.5022870337
89	0.5000918686
90	0.4974921358
91	0.4955884361
92	0.492866457
93	0.4910392709
94	0.4876805478
95	0.4840363819
96	0.4819631531
97	0.4803668349
98	0.4769619651
99	0.4734700438
100	0.4705734732
101	0.4697054175
102	0.4682752307
103	0.465964108
104	0.4644931796
105	0.4623898269
106	0.4599082441
107	0.4577904997
108	0.4561133733
109	0.4539900908
110	0.4529920734
111	0.4513999943
112	0.4480880186
113	0.4476209829
114	0.4460345871
115	0.4439174066
116	0.44253451
117	0.4405644374
118	0.4392197931
119	0.4378619588
120	0.4365385125
121	0.434655764
122	0.4319714119
123	0.4313127581
124	0.4297096984
125	0.4274686769
126	0.4271375221
127	0.4231389702
128	0.422736119
129	0.4221331485
130	0.4197328376
131	0.419401526
132	0.4175469601
133	0.4170095768
134	0.4160373417
135	0.4157255711
136	0.4153349937
137	0.4145355664
138	0.4140338214
139	0.4104313419
140	0.4093312389
141	0.4074471486
142	0.4070651256
143	0.406311407
144	0.4059412581
145	0.4054522122
146	0.4045830523
147	0.4043290368
148	0.4039942533
149	0.4036667133
150	0.4030866887
151	0.4010754513
152	0.4008154734
153	0.4002125573
154	0.3985844651
155	0.3959047766
156	0.3952008089
157	0.3937269084
158	0.3934074462
159	0.3928159562
160	0.392281158
161	0.3919845976
162	0.3913206061
163	0.3909038884
164	0.3899735093
165	0.3896703635
166	0.3893005596
167	0.3867115822
168	0.386494833
169	0.3844513796
170	0.3831906498
171	0.3828230872
172	0.3824931653
173	0.3813971556
174	0.3781516677
175	0.3764202423
176	0.3751714669
177	0.3742336646
178	0.3723239107
179	0.3720473313
180	0.371650713
181	0.3713435243
182	0.3711197651
183	0.3705773136
184	0.3701926471
185	0.3680137749
186	0.3665460472
187	0.3643703839
188	0.3639943147
189	0.3637590523
190	0.3634433662
191	0.3631802737
192	0.3608601294
193	0.3605051175
194	0.3590362902
195	0.358749245
196	0.3584611885
197	0.3567450548
198	0.3564386189
199	0.3560730297
200	0.3552769975
201	0.3550052094
202	0.3546043041
203	0.3538801449
204	0.3529443889
205	0.3522144813
206	0.3519302888
207	0.3515943446
208	0.3506084656
209	0.3486782926
210	0.3484279902
211	0.3479086765
212	0.3476643736
213	0.3462780066
214	0.3460522927
215	0.3457633806
216	0.3453992452
217	0.3450665986
218	0.344692132
219	0.344490997
220	0.3442107813
221	0.3439207098
222	0.3436491703
223	0.3434339758
224	0.3432078388
225	0.3429183748
226	0.3426287724
227	0.3423416563
228	0.342056677
229	0.34136918
230	0.3406171777
231	0.3394765463
232	0.3392811069
233	0.3390582051
234	0.3387736034
235	0.3385637222
236	0.3376691048
237	0.3367114514
238	0.3363888362
239	0.3361917864
240	0.3355688236
241	0.3352635983
242	0.3350664552
243	0.3348115788
244	0.3346003442
245	0.3335767893
246	0.3333522557
247	0.3329168481
248	0.3327046254
249	0.3324669561
250	0.3322076524
251	0.3318198291
252	0.331636325
253	0.3314069679
254	0.3312060135
255	0.3309523358
256	0.3306579094
257	0.3287854854
258	0.3282889837
259	0.3280545839
260	0.3278382366
261	0.3272586335
262	0.3270304724
263	0.3264556027
264	0.3262628958
265	0.3260145204
266	0.3257971492
267	0.3250323166
268	0.3241854552
269	0.323930506
270	0.3237024615
271	0.3234653161
272	0.3215052315
273	0.3205185499
274	0.3195362979
275	0.3193007811
276	0.3176346875
277	0.3173818972
278	0.3171633779
279	0.3169055799
280	0.316704206
281	0.3159895535
282	0.3157691637
283	0.3155773247
284	0.3148646912
285	0.3146907028
286	0.3141147318
287	0.3138790602
288	0.3131103081
289	0.3129518444
290	0.3127412725
291	0.3123513385
292	0.3121463087
293	0.3108851414
294	0.3093342488
295	0.3091342072
296	0.3087057162
297	0.3085462051
298	0.30590422
299	0.3056974838
300	0.3047950099
301	0.3045943325
302	0.3043855862
