iter	Passed	Remaining
0	79	79550
1	111	55408
2	134	44837
3	176	43838
4	179	35628
5	204	33912
6	223	31729
7	242	30030
8	255	28151
9	276	27339
10	294	26495111	325	26777112	346	26313113	379	26714	14	432	28412
15	442	27216	16	468	27065117	490	26782118	516	26680119	542	26563
20	560	26116
21	591	26292
22	606	25745
23	631	25689
24	649	25348
25	670	25129
26	711	25653
27	728	25282
28	735	24618
29	751	24298
30	766	23961
31	777	23516
32	794	23289
33	812	23082
34	833	22972
35	853	22842
36	875	22783
37	906	22960
38	935	23040
39	959	23029
40	980	22943
41	997	22757
42	1013	22549
43	1026	22344	44	1043	22145	45	1058	21946	46	1070	21747	1074	21310
48	1101	21370
49	1121	21302
50	1136	21147
51	1157	21101
52	52	1178	21053	53	1196	20554	1215	20889
55	1243	20960
56	1267	20962
57	1309	21265
58	1323	21102
59	1350	21163
60	1369	21082
61	1390	21036
62	1412	21005
63	1430	20918
64	1456	20949
65	1492	21124
66	1520	21177
67	1551	21263
68	1573	21237
69	1594	21177
70	1608	21046
71	1626	20966
72	1642	20858
73	1697	21242
74	1724	21266
75	1754	21330
76	1768	21202
77	1787	21130
78	1798	20972
79	1822	20953
80	1833	20807
81	1848	20697
82	1859	20543
83	1869	20384
84	1880	20243
85	1888	20065
86	1898	19925
87	1919	19895
88	1936	19819
89	1956	19786
90	1970	19686
91	1986	19606
92	2004	19551
93	2028	19548
94	2055	19581
95	2081	19602
96	2098	19535
97	2109	19420
98	2125	19348
99	2136	19231
100	2152	19155
101	2167	19079
102	2181	18994
103	2194	18907
104	2213	18865
105	2244	18931
106	2270	18950
107	2287	18894
108	2306	18853
109	2324	18805
110	2342	18758
111	2367	18774
112	2381	18697
113	2401	18662
114	2426	18670
115	2449	18663
116	2460	18566
117	2480	18539
118	2493	18462
119	2512	18421
120	2531	18392
121	2548	18339
122	2568	18311
123	2592	18315
124	2615	18305
125	2632	18263
126	2648	18207
127	2668	18179
128	2683	18121
129	2698	18056
130	2716	18019
131	2732	17968
132	2749	17920
133	2771	17913
134	2784	17841
135	2807	17838
136	2828	17815
137	2843	17763
138	2868	17768
139	2881	17702
140	2901	17675
141	2921	17649
142	2937	17606
143	2948	17529
144	2962	17465
145	2975	17404
146	2983	17315
147	3004	17296
148	3021	17257
149	3037	17215
150	3052	17161
151	3070	17130
152	3085	17080
153	3105	17059
154	3131	17069
155	3145	17015
156	3167	17007
157	3183	16964
158	3205	16956
159	3216	16884
160	3225	16806
161	3235	16735
162	3245	16665
163	3257	16604
164	3275	16575
165	3296	16563
166	3314	16530
167	3328	16483
168	3347	16462
169	3365	16430
170	3381	16392
171	3403	16386
172	3423	16364
173	3456	16406
174	3478	16399
175	3493	16357
176	3516	16349
177	3537	16337
178	3564	16351
179	3578	16300
180	3587	16233
181	3603	16197
182	3614	16137
183	3628	16092
184	3640	16039
185	3653	15988
186	3664	15933
187	3675	15875
188	3685	15813
189	3698	15767
190	3720	15756
191	3742	15751
192	3762	15731
193	3784	15725
194	3793	15661
195	3803	15604
196	3824	15589
197	3852	15602
198	3860	15539
199	3884	15538
200	3906	15528
201	3935	15547
202	3956	15531
203	3983	15545
204	3997	15500
205	4007	15445
206	4019	15398
207	4038	15376
208	4053	15341
209	4074	15328
210	4089	15293
211	4103	15253
212	4111	15192
213	4124	15148
214	4134	15096
215	4144	15043
216	4158	15004
217	4167	14950
218	4180	14908
219	4203	14902
220	4220	14875
221	4236	14847
222	4256	14832
223	4268	14788
224	4289	14775
225	4308	14756
226	4318	14706
227	4339	14694
228	4354	14661
229	4381	14668
230	4392	14623
231	4403	14576
232	4415	14533
233	4426	14490
234	4435	14437
235	4446	14394
236	4455	14344
237	4466	14299
238	4475	14250
239	4496	14237
240	4513	14215
241	4531	14192
242	4550	14175
243	4571	14164
244	4597	14166
245	4607	14122
246	4629	14113
247	4651	14103
248	4688	14141
249	4713	14141
250	4737	14137
251	4753	14108
252	4773	14092
253	4783	14048
254	4799	14022
255	4814	13993
256	4827	13957
257	4851	13952
258	4866	13922
259	4881	13894
260	4900	13875
261	4909	13829
262	4931	13819
263	4951	13804
264	4973	13795
265	4999	13794
266	5017	13775
267	5035	13752
268	5048	13720
269	5063	13690
270	5088	13688
271	5111	13680
272	5137	13682
273	5154	13658
274	5186	13672
275	5205	13654
276	5225	13639
277	5250	13636
278	5265	13608
279	5286	13592
280	5299	13559
281	5314	13532
282	5329	13501
283	5347	13482
284	5361	13450
285	5375	13420
286	5402	13421
287	5425	13412
288	5461	13436
289	5478	13412
290	5499	13400
291	5513	13369
292	5528	13341
293	5548	13324
294	5579	13334
295	5590	13296
296	5607	13273
297	5631	13266
298	5648	13242
299	5664	13216
300	5682	13196
301	5696	13167
302	5714	13144
303	5730	13120
304	5745	13091
305	5765	13075
306	5784	13057
307	5812	13059
308	5836	13052
309	5853	13028
310	5872	13010
311	5889	12986
312	5905	12962
313	5927	12950
314	5938	12914
315	5962	12905
316	5976	12876
317	5992	12852
318	6012	12834
319	6033	12820
320	6048	12793
321	6067	12775
322	6085	12754
323	6101	12729
324	6125	12721
325	6158	12733
