iter	MultiClass
0	1.07902619
1	1.061614132
2	1.04951962
3	1.033759438
4	1.020992839
5	1.009331704
6	0.9964857879
7	0.9842554641
8	0.9688966109
9	0.9582884718
10	0.9471845647
11	0.9384628587
12	0.9277518422
13	0.9194246005
14	0.9088897993
15	0.8998825276
16	0.8888091414
17	0.8791505242
18	0.8681733117
19	0.8597609274
20	0.8504685389
21	0.8413300703
22	0.8334363076
23	0.8261422904
24	0.8175865284
25	0.8099128835
26	0.8021414549
27	0.7950025846
28	0.7879145518
29	0.7794451277
30	0.7708963622
31	0.7640669514
32	0.7563262523
33	0.7503004179
34	0.7443106037
35	0.7383951973
36	0.731824401
37	0.7256277992
38	0.7192730495
39	0.7139537522
40	0.7071091113
41	0.7008213661
42	0.6949999432
43	0.688461705
44	0.682643223
45	0.6784059993
46	0.6722703046
47	0.6673704452
48	0.6625972049
49	0.657354885
50	0.652520487
51	0.6477778092
52	0.6428654757
53	0.639087818
54	0.6343408822
55	0.6305883228
56	0.6279893035
57	0.6238806193
58	0.6204592405
59	0.6152713218
60	0.6110426381
61	0.6066227375
62	0.60174423
63	0.5972606111
64	0.5924810256
65	0.5894697721
66	0.5850236945
67	0.5806981027
68	0.5757925547
69	0.5714557466
70	0.5678315213
71	0.5626600212
72	0.5590601156
73	0.5550512527
74	0.5526237292
75	0.5502736942
76	0.5460352676
77	0.5431777968
78	0.5399614424
79	0.5356825056
80	0.5322808532
81	0.5292835351
82	0.5253224006
83	0.521660574
84	0.5177317307
85	0.5145611849
86	0.5127639076
87	0.5104455274
88	0.5080850871
89	0.506033874
90	0.5022632263
91	0.4992340448
92	0.4952401548
93	0.4917737218
94	0.4880873863
95	0.4848282035
96	0.4803770944
97	0.4771724499
98	0.4743352928
99	0.4710861549
100	0.4679025469
101	0.4647564732
102	0.4615464166
103	0.4580928609
104	0.4550349033
105	0.4520657638
106	0.4495040027
107	0.4461608394
108	0.4435043784
109	0.4407484148
110	0.4385136164
111	0.4358603859
112	0.4327888425
113	0.4298810831
114	0.4269774082
115	0.4245118803
116	0.4207118115
117	0.41793063
118	0.4146502602
119	0.4115290996
120	0.4076806269
121	0.405199116
122	0.4023242342
123	0.3996292024
124	0.3966386213
125	0.3948789594
126	0.3921456181
127	0.3889374821
128	0.3860978416
129	0.3840159968
130	0.3806899017
131	0.3780803093
132	0.3754637606
133	0.3726041176
134	0.369578864
135	0.3668492637
136	0.3646424199
137	0.3619665765
138	0.3591287153
139	0.3566526457
140	0.354237179
141	0.3516256319
142	0.3489774965
143	0.3465210733
144	0.3438234273
145	0.3411042738
146	0.3389656901
147	0.3365529787
148	0.334622396
149	0.3328817343
150	0.3304508405
151	0.328051933
152	0.3254937752
153	0.3233536664
154	0.3210116866
155	0.3184174266
156	0.3158485545
157	0.3132125323
158	0.311019383
159	0.3087621916
160	0.3063067866
161	0.304211893
162	0.3017270052
163	0.2993259202
164	0.2970078664
165	0.2949143615
166	0.2922891346
167	0.2904659146
168	0.2884140388
169	0.286425376
170	0.2841140275
171	0.2819012999
172	0.2797116847
173	0.2777182887
174	0.2756841602
175	0.2737638024
176	0.2718946689
177	0.2703437623
178	0.2685073639
179	0.2668775674
180	0.2650492667
181	0.2630153955
182	0.2613165326
183	0.2592216875
184	0.2571431559
185	0.2554204299
186	0.2531527651
187	0.2509913435
188	0.2491504843
189	0.2472922464
190	0.2456395757
191	0.2439452827
192	0.2420671216
193	0.2402544331
194	0.2385390998
195	0.2369605371
196	0.2352670813
197	0.2334418782
198	0.2322174381
199	0.230618535
200	0.228757049
201	0.2273705484
202	0.2257982376
203	0.2241852997
204	0.2223417242
205	0.2207314954
206	0.2192805944
207	0.2181411888
