iter	Passed	Remaining
0	96	192141
1	150	149995
2	197	131372
3	239	119457
4	278	111126
5	317	105526
6	356	101629
7	395	98493
8	436	96644
9	475	94625
10	513	92782
11	551	91439
12	590	90216
13	628	89103
14	667	88283
15	705	87518
16	750	87536
17	790	87039
18	833	86920
19	879	87052
20	924	87123
21	966	86865
22	1006	86492
23	1048	86338
24	1089	86099
25	1136	86290
26	1184	86532
27	1241	87421
28	1295	88067
29	1346	88432
30	1391	88402
31	1432	88088
32	1473	87850
33	1514	87594
34	1556	87379
35	1596	87080
36	1638	86952
37	1679	86733
38	1720	86517
39	1762	86340
40	1801	86064
41	1848	86158
42	1896	86334
43	1946	86512
44	1986	86323
45	2026	86068
46	2066	85874
47	2115	86024
48	2156	85867
49	2199	85788
50	2240	85604
51	2280	85427
52	2319	85206
53	2359	85037
54	2401	84914
55	2440	84726
56	2480	84559
57	2521	84431
58	2562	84315
59	2605	84243
60	2647	84157
61	2687	84015
62	2726	83827
63	2776	84000
64	2838	84497
65	2936	86041
66	2977	85910
67	3020	85815
68	3059	85633
69	3100	85472
70	3141	85345
71	3181	85181
72	3223	85080
73	3263	84947
74	3303	84792
75	3343	84643
76	3382	84487
77	3424	84392
78	3477	84549
79	3525	84612
80	3571	84616
81	3613	84520
82	3654	84414
83	3694	84265
84	3733	84119
85	3775	84021
86	3815	83898
87	3862	83926
88	3913	84022
89	3962	84091
90	4012	84165
91	4061	84223
92	4108	84244
93	4158	84326
94	4205	84325
95	4251	84324
96	4303	84420
97	4350	84443
98	4398	84458
99	4443	84429
100	4490	84425
101	4540	84482
102	4589	84524
103	4632	84458
104	4675	84389
105	4715	84263
106	4757	84167
107	4802	84136
108	4842	84019
109	4883	83904
110	4925	83822
111	4965	83712
112	5010	83666
113	5051	83564
114	5092	83479
115	5131	83339
116	5173	83255
117	5215	83182
118	5257	83105
119	5298	83014
120	5338	82905
121	5381	82836
122	5441	83042
123	5481	82928
124	5524	82860
125	5565	82776
126	5615	82820
127	5666	82879
128	5712	82850
129	5759	82843
130	5811	82911
131	5857	82892
132	5900	82825
133	5942	82752
134	5983	82655
135	6023	82551
136	6065	82483
137	6113	82488
138	6157	82445
139	6199	82358
140	6240	82273
141	6283	82222
142	6341	82356
143	6385	82307
144	6427	82227
145	6468	82143
146	6510	82070
147	6552	81994
148	6594	81919
149	6637	81862
150	6684	81857
151	6729	81811
152	6771	81742
153	6812	81664
154	6851	81554
155	6893	81479
156	6934	81399
157	6978	81355
158	7019	81273
159	7060	81194
160	7102	81130
161	7149	81121
162	7192	81060
163	7237	81027
164	7283	81001
165	7326	80945
166	7367	80861
167	7407	80778
168	7447	80684
169	7487	80603
170	7529	80530
171	7570	80463
172	7614	80412
173	7655	80339
174	7700	80301
175	7747	80287
176	7793	80269
177	7838	80233
178	7883	80196
179	7928	80163
180	7971	80109
181	8017	80087
182	8062	80049
183	8105	79998
184	8149	79956
185	8194	79918
186	8240	79891
187	8284	79851
188	8328	79802
189	8370	79739
190	8414	79691
191	8465	79714
192	8511	79688
193	8563	79720
194	8613	79732
195	8662	79732
196	8708	79704
197	8755	79686
198	8801	79653
199	8843	79591
200	8884	79514
201	8925	79448
202	8968	79388
203	9011	79334
204	9052	79265
205	9095	79212
206	9137	79145
207	9181	79100
208	9225	79060
209	9268	79003
210	9309	78933
211	9352	78878
212	9396	78831
213	9438	78767
214	9481	78717
215	9527	78687
216	9573	78663
217	9620	78639
218	9662	78582
219	9706	78533
220	9747	78466
221	9788	78399
222	9833	78355
223	9874	78288
224	9916	78232
225	9958	78166
226	10001	78118
227	10045	78071
228	10086	78005
229	10129	77954
230	10170	77889
231	10213	77833
232	10269	77883
233	10316	77856
234	10358	77795
235	10399	77732
236	10441	77675
237	10483	77611
238	10523	77539
239	10573	77542
240	10618	77498
